No,Planet 1,Aspect,Planet 2,Orb,Power
 1,Jupiter,Trine,Pluto,-1:04'19",50.22
 2,Saturn,Trine,Uranus,+2:36'23",38.82
 3,Mars,Trine,Uranus,+1:40'33",24.97
 4,Jupiter,Opposite,Uranus,-7:12'49",16.72
 5,Mars,Trine,Saturn,-4:16'56",15.01
 6,Sun,Square,Uranus,-3:42'50",13.25
 7,Venus,Trine,Saturn,+2:24'54",8.96
 8,Venus,Trine,Uranus,-5:01'18",6.72
 9,Moon,Opposite,Pluto,-4:42'10",5.72
 10,Moon,Trine,Neptune,+3:33'56",4.56
 11,Jupiter,Opposite,Neptune,-9:20'26",4.45
 12,Venus,Conjunct,Mars,+6:41'51",3.72
 13,Mercury,Square,Uranus,-7:45'13",3.59
 14,Venus,Square,Neptune,+8:25'24",3.19
 15,Sun,Conjunct,Mercury,+4:02'23",3.16
 16,Mars,Sextile,Jupiter,+5:32'16",1.73
 17,Moon,Sextile,Jupiter,+5:46'30",0.79
 18,Mercury,Sextile,Neptune,+5:41'29",0.69
 19,Moon,Opposite,Mercury,-9:15'26",0.25
 20,Sun,Square,Jupiter,+10:55'40",0.10
